代號,名稱,上市別,TSE 產業別,TSE產業名稱,員工人數-母公司,實收資本額(元),資本額,資產總額_自然變數,槓桿比,現金比率,資產報酬率(2024全年),OI,EBIT,EBITDA,董事會規模,董事會獨立性,董事長兼任總經理,高階主管薪酬長期目標,集團控制型態_量化,控制持股%,席次盈餘偏離差,AI變數,現金充裕度,TCRI,集團/非集團企業(量化),EPU數量,EPU數量_廣義,EPU數量_廣義(含政治),TESG分數,事件雷達轉換計分,環境構面分數,社會構面分數,公司治理構面分數,累計報酬率
1213,大飲,TSE,2,食品工業,107,566226270,779837,13.5668402,0.10199701,0.028010982,104.1,-44.78,0.681900192,0.700745156,2.197224577,0.333333333,0,0,1,71.89,-5.22,0,-0.39,0,1,0,0,0,44.68,56.55,33.44,43.98,57.21,-17.1947
1215,卜蜂,TSE,2,食品工業,2459,2947900980,29744778,17.20816415,1.77706383,0.02560046,17.76,8.2,0.087580583,0.125688684,2.079441542,0.375,0,0,1,39.31,23.26,0,2.76,4,0,0,0,0,54.33,91.76,61.7,54.72,46.21,27.1713
1216,統一,TSE,2,食品工業,5726,56820154210,721685390,20.39709985,2.274882285,0.190931149,15.98,5.14,0.064436316,0.124193853,2.63905733,0.357142857,0,0,1,6.71,43.29,0,1281.05,3,1,0,1,1,70.02,67.12,84.76,74.66,51.19,-1.1975
1217,愛之味,TSE,2,食品工業,605,4945133360,14288534,16.47496796,0.84020394,0.058810582,3.82,2.82,0.034574366,0.044156104,2.197224577,0.333333333,0,0,1,28.58,39.06,0,8.39,7,1,1,1,4,60.52,100,63.26,64.85,52.07,-8.6697
1218,泰山,TSE,2,食品工業,570,4999990380,14699377,16.50331567,0.185577237,0.172082939,5.96,5.78,0.060202756,0.070323116,2.197224577,0.333333333,0,0,1,53.19,25.47,0,16.94,6,1,0,0,0,62.46,85.88,76.74,65.22,44.12,-16.0185
1219,福壽,TSE,2,食品工業,645,3412383640,9654653,16.08295053,1.083865488,0.102167628,2.33,0.78,0.023353403,0.058798177,2.197224577,0.333333333,0,0,1,26.56,29.01,0,9.05,6,1,0,1,5,72.19,87.71,81.06,76.49,57.44,4.2545
1220,台榮,TSE,2,食品工業,237,1770779440,3302352,15.0101455,0.244286763,0.206878915,9.07,7.25,0.089339659,0.117431758,2.197224577,0.333333333,0,0,1,40.59,3.85,0,3.93,6,1,0,2,3,63.4,100,55.23,68,65.88,-7.751
1225,福懋油,TSE,2,食品工業,246,2422683060,9050803,16.01836404,1.216458771,0.178276336,9.91,3.69,0.06397587,0.086290576,2.197224577,0.333333333,0,0,1,43.93,-8.63,0,9.45,6,1,1,1,2,64.73,71.78,72.35,72.28,47.03,113.8803
1227,佳格,TSE,2,食品工業,1170,9150895910,26365120,17.08755248,0.366963861,0.319591491,9.9,6.59,0.089386432,0.115111746,2.079441542,0.5,0,0,1,56.18,42.33,0,55.01,3,1,0,2,5,76.52,77.91,83.87,78.86,65.9,-8.5573
1229,聯華,TSE,2,食品工業,16,17959606680,90131614,18.31678154,0.299884354,0.072387054,6.99,10.28,0.058646548,0.063355317,2.197224577,0.333333333,0,0,1,43.5,43.3,0,60.78,5,1,0,0,2,72.59,82.56,82.55,82.2,49.82,15.8736
1231,聯華食,TSE,2,食品工業,2461,2984544750,14477588,16.48811236,1.165244989,0.09871375,18.57,8.55,0.100318851,0.12714466,2.197224577,0.333333333,0,0,1,61.43,-5.76,0,11.4,5,0,0,0,2,67.65,99.4,75.2,61.52,67.81,-24.4691
1232,大統益,TSE,2,食品工業,157,1599749150,9791081,16.09698243,0.584001283,0.308942394,24.06,7.38,0.178055007,0.2073196,2.397895273,0.272727273,0,0,1,48.17,33.23,0,15.84,4,1,0,1,5,67.2,100,79.58,62.05,61.1,-7.4694
1233,天仁,TSE,2,食品工業,1424,905919480,2253592,14.62803595,0.654112027,0.082788278,5.93,3.76,0.050798015,0.127187619,2.197224577,0.333333333,0,0,1,43.37,-10,0,1.9,6,0,0,0,1,63.35,100,53.82,65.36,70.57,-9.7779
1234,黑松,TSE,2,食品工業,596,4018710940,23934388,16.99082681,0.30625096,0.079855353,5.06,6.78,0.050824028,0.065397661,2.564949357,0.230769231,0,0,1,20.85,40.69,0,16.14,4,1,0,0,1,67.95,88.4,79.89,68.4,55.03,-3.2628
1235,興泰,TSE,2,食品工業,23,1885778360,5758041,15.56610787,0.904682217,0.207954233,-5.79,-7.83,-0.017884555,-0.017390637,1.945910149,0.428571429,0,0,1,93.32,-64.75,0,7.01,8,1,0,0,0,36.28,0,50.99,37.26,50.04,-30.7799
1236,宏亞,TSE,2,食品工業,732,866740080,3854717,15.16480815,0.599397952,0.008445237,-0.97,-2.67,-0.002475409,0.046135683,1.945910149,0.571428571,0,0,1,48.64,-20.07,0,1.19,6,0,0,0,0,50.46,100,48.85,50.31,52.32,8.7549
1240,茂生農經,OTC,33,農業科技,101,442323730,2145883,14.57906168,0.422225035,0.167009105,11.45,5.38,0.099666198,0.120311778,2.197224577,0.444444444,1,0,1,33.58,4.45,0,4.14,6,1,0,0,1,54.68,100,68.22,45.95,52.03,11.2876
1256,鮮活果汁-KY,TSE,2,食品工業,906,357721600,4304126,15.27508466,0.221115949,0.240251796,7.71,9.31,0.095574107,0.1574387,2.079441542,0.375,0,0,1,52.91,0.63,0,17.5,5,0,0,0,0,51.76,100,39.76,58.17,55.82,15.7737
1259,安心,OTC,16,觀光餐旅,5638,323895000,6261936,15.64999996,1.615579775,0.163122236,2.31,0.19,0.013033349,0.129955975,2.397895273,0.272727273,0,1,1,47.1,22.77,0,11.25,5,1,0,0,0,58.56,95.21,46.51,67.56,59.31,3.4033
1264,德麥,OTC,2,食品工業,314,370523670,5603675,15.53893319,0.409020619,0.200367259,21.94,16.61,0.2089038,0.224442531,2.397895273,0.272727273,0,0,1,24.82,3.33,0,9.89,4,0,0,1,1,65.28,100,72.53,54.89,71.3,0.5645
1268,漢來美食,OTC,16,觀光餐旅,2488,422237300,6939807,15.75278452,1.847925184,0.182993418,19.22,8.98,0.084401915,0.153296338,2.079441542,0.5,0,0,1,78.04,-38.58,0,11.97,5,1,0,0,1,52.15,95.94,52.16,48.6,56.74,8.1943
1294,漢田生技,OTC,2,食品工業,170,305715630,1148741,13.95417712,0.392582131,0.316824245,25.43,26.38,0.174118448,0.20203858,2.197224577,0.444444444,1,0,1,37.92,-13.29,0,1.67,6,0,0,8,11,64.51,100,34.89,83.09,58.92,15.8148
1295,生合,OTC,2,食品工業,227,344748000,2513758,14.7372894,1.464852855,0.164338811,16.82,21.16,0.095595519,0.125845845,2.197224577,0.444444444,0,0,1,45.62,-10.7,0,3.47,6,1,0,0,0,61.9,100,49.59,64.83,64.19,102.2612
1301,台塑,TSE,3,塑膠工業,6742,63657407810,505918652,20.04188645,0.742428967,0.126944225,-0.39,-2.08,0.001625977,0.019406912,2.48490665,0.333333333,1,0,1,33.57,20.05,0,985.28,3,1,1,1,9,58.96,90.84,51.62,72.24,54.5,3.834
1303,南亞,TSE,3,塑膠工業,11904,79308215890,618904591,20.24346168,0.719520754,0.131441985,0.89,0.17,0.014333907,0.051014362,2.48490665,0.333333333,0,0,1,37.56,42.31,0,1142.82,3,1,0,0,7,60.15,96.21,61.31,71.08,51.09,25.6184
1304,台聚,TSE,3,塑膠工業,432,11887635000,70053550,18.06477051,0.688202753,0.192371593,-10.87,-3.94,-0.074376902,-0.035274387,2.197224577,0.444444444,0,0,1,28.66,33.04,0,159.2,4,1,0,4,13,69.27,100,77.79,68.59,63.4,-14.7103
1305,華夏,TSE,3,塑膠工業,633,5810504940,17724899,16.69048093,0.961370681,0.150053323,-7.69,-7.6,-0.046621422,0.002704106,2.197224577,0.444444444,0,0,1,35.11,26.74,0,31.05,5,1,0,2,8,68.46,92.99,79.34,72.79,57.05,-2.7199
1307,三芳,TSE,3,塑膠工業,596,3978181260,17849893,16.69750807,0.825518177,0.329233906,15.38,14.48,0.10932833,0.140681179,1.945910149,0.428571429,0,0,1,19.14,38.01,0,48.66,4,0,0,2,4,63.14,100,68.47,66.73,56.68,-86.36
1308,亞聚,TSE,3,塑膠工業,241,5937439190,13384080,16.4095765,0.185148086,0.132464988,-6.05,-1.81,-0.06783365,-0.042515885,2.197224577,0.444444444,0,0,1,37.26,7.18,0,20.86,4,1,0,2,2,58.75,100,50.46,61.4,62.98,-17.1452
1309,台達化,TSE,3,塑膠工業,371,3975868480,9593652,16.07661219,0.527292873,0.257037987,-3.45,-1.94,-0.021100515,0.001426881,2.197224577,0.444444444,0,0,1,37.72,6.72,0,22.62,5,1,0,3,6,59.76,100,69.88,47.07,61.68,-20.2303
1310,台苯,TSE,3,塑膠工業,201,5278697640,9897388,16.10778144,0.359145978,0.086644375,-5.22,-4.84,-0.04645559,-0.018579548,2.397895273,0.363636364,0,0,0,16,22.02,0,8.22,7,1,1,1,3,51.43,91.77,55.41,52.74,47.45,-5.4238
1312,國喬,TSE,3,塑膠工業,370,11266203280,67338769,18.02524669,0.842789882,0.099736647,-4.66,-10.19,-0.028048092,-0.007818067,1.945910149,0.428571429,0,0,1,14.42,8.94,0,49.29,5,1,0,0,0,56.58,100,49.35,62.51,57.55,-10.9644
1313,聯成,TSE,3,塑膠工業,233,13308461070,54537582,17.8144006,0.970831556,0.084829192,-8.01,-3.65,-0.040051831,-0.004048859,2.197224577,0.333333333,0,0,1,46.17,40.18,0,45.85,4,1,2,4,10,55.2,96.24,57.52,56.64,52.38,15.771
1314,中石化,TSE,3,塑膠工業,1101,37848501300,139285944,18.75203953,0.752959541,0.039368409,0.69,-6.48,0.010450179,0.021068594,2.079441542,0.375,0,0,1,8.62,59.57,0,49.24,6,1,0,0,1,54.83,81.71,59.21,62.53,45.78,3.3999
1315,達新,TSE,3,塑膠工業,340,990990000,10291720,16.14685025,0.128536477,0.48175203,2.09,-3.49,0.025689972,0.035433339,2.197224577,0.333333333,0,0,1,48.69,17.99,0,60.93,5,0,0,0,0,55.48,100,59.29,58.54,50.32,-3.7173
1316,上曜,TSE,14,建材營造,38,3685311860,19779444,16.80015377,0.95297175,0.15197591,-2.05,-6.83,0.001920782,0.005768767,1.945910149,0.571428571,0,0,1,10.11,38.96,0,12.13,8,1,1,2,2,52.24,100,42.53,56.53,55.34,-1.8444
1319,東陽,TSE,12,汽車工業,3722,5914770680,39733760,17.49771176,0.334935866,0.148657162,16.48,18.81,0.139991886,0.210881351,1.945910149,0.428571429,0,0,1,38.78,18.38,0,41.04,3,1,0,0,0,65.15,100,66.1,70.82,60.16,-67.2548
1321,大洋,TSE,3,塑膠工業,455,2272282680,11807164,16.28421702,0.987323185,0.102533597,2.72,-1.99,0.026148362,0.046148847,2.302585093,0.4,1,0,1,24.62,15.38,0,10.19,5,1,0,2,6,48.47,96.87,36.54,65.58,44.6,-3.5727
1323,永裕,TSE,3,塑膠工業,719,912745540,4913761,15.40755019,0.877569556,0.32212861,9.91,2.54,0.065270777,0.10846661,2.397895273,0.363636364,1,0,1,36,21.46,0,12.81,5,0,0,14,17,55.38,78.14,61.32,54.12,51.86,8.2892
1324,地球,TSE,3,塑膠工業,228,751218820,1179978,13.98100635,0.2410318,0.355576121,0.7,-0.68,0.002440723,0.035901517,1.609437912,0.6,0,0,1,48.57,-8.57,0,4.81,6,0,1,2,4,56.58,68.07,53.95,56.92,58.29,-10.8282
1325,恒大,TSE,3,塑膠工業,126,852811980,2855627,14.86480199,0.035431541,0.55242649,-2.38,-25.19,-0.023313969,-0.002327335,1.945910149,0.571428571,0,0,1,43.41,5.94,0,15.87,6,1,0,0,0,45.52,100,37.61,56.9,37.1,7.458
1326,台化,TSE,3,塑膠工業,4300,58611862910,501911564,20.03393449,0.639578027,0.15217318,0.33,-0.45,0.008658703,0.038938467,2.48490665,0.333333333,0,0,1,40.37,33.46,0,1239.5,3,1,0,0,8,59.07,100,66.34,64.44,49.59,23.8841
1336,台翰,OTC,28,電子零組件,53,776144190,3174435,14.97064022,0.648368681,0.13024239,8.76,8.41,0.083700249,0.125273946,1.945910149,0.571428571,0,0,1,30.88,33.91,1,5.96,6,1,0,0,0,55.69,84.87,56.28,59.3,52.53,-62.185
1337,再生-KY,TSE,3,塑膠工業,530,2689547290,6579604,15.69948512,0.600136385,0.297579155,-9.71,-41.18,-0.062995889,-0.04392012,1.945910149,0.428571429,0,0,1,20.41,36.73,0,10.69,7,0,0,0,0,41.99,72.03,30.71,42.72,49.91,-23.0591
1338,廣華-KY,TSE,12,汽車工業,2154,838400000,11017496,16.21499511,0.708455178,0.252559293,-0.72,-1.77,0.01464625,0.069593036,1.945910149,0.428571429,0,0,1,29,14.88,0,29.86,5,0,2,4,7,47.65,94.15,50.26,37.63,52.97,-26.1039
1339,昭輝,TSE,12,汽車工業,284,741238750,5164500,15.45731885,0.276224757,0.17399787,8.62,18.77,0.09453616,0.170892632,2.197224577,0.444444444,0,0,1,50.79,4.79,0,8.12,5,0,0,6,6,52.22,87.7,29.86,57,67.01,-33.8941
1340,勝悅-KY,TSE,3,塑膠工業,25,1529228550,3334283,15.01976822,0.102246687,0.209973179,-24.02,-108.47,-0.241408423,-0.203039754,1.945910149,0.428571429,0,0,1,19.96,22.9,0,9.19,7,0,0,0,0,32.45,0,30.85,43.6,42.04,9.9398
1341,富林-KY,TSE,3,塑膠工業,1059,528506340,2493779,14.72930979,1.00128482,0.088247194,20.54,11.93,0.152737672,0.191806491,1.791759469,0.666666667,1,0,0,51.81,-34.04,0,2.76,6,0,0,0,0,44.65,100,34.73,38.01,56.62,-23.3493
1342,八貫,TSE,20,其他,448,780009020,3803737,15.15149456,0.753099592,0.191995924,21.1,20.87,0.158366102,0.183174073,2.079441542,0.5,1,0,1,53.69,-26.16,0,6,5,0,0,0,0,59.94,100,54.93,70.2,56.01,-33.8661
1402,遠東新,TSE,4,紡織纖維,3934,53528752270,678627711,20.33558325,1.076428699,0.066201398,6.03,6.53,0.041986272,0.087684669,2.708050201,0.333333333,0,0,1,42.6,53.68,0,398.48,3,1,1,4,9,64.46,91.33,73.35,69.35,54.14,-16.3194
1409,新纖,TSE,4,紡織纖維,1667,16184092860,220516506,19.21148311,3.477693981,0.092768339,5.02,8.31,0.018976421,0.028414168,2.48490665,0.25,0,0,1,26.06,29.49,0,162.34,5,1,1,5,12,62.85,92.15,71.31,77.11,45.81,4.5958
1410,南染,TSE,4,紡織纖維,19,620000000,1360134,14.12309378,0.233205129,0.446343522,3.27,7.26,0.033909159,0.050804553,1.945910149,0.571428571,1,0,1,40.21,8.84,0,5.51,6,1,0,0,0,33.74,100,30.24,28.53,40.26,-0.1566
1413,宏洲,TSE,4,紡織纖維,188,1321124540,2519682,14.73964326,1.378746054,0.050634961,-2.1,-1.13,-0.001158083,0.02446777,2.197224577,0.444444444,1,0,1,44.81,8.47,0,0.64,7,1,0,0,2,39.81,100,45.18,46.56,30.73,-37.4662
1414,東和,TSE,4,紡織纖維,199,1980000000,4324787,15.27987345,0.398362493,0.153203383,1.8,-3.05,0.015940901,0.026536798,1.945910149,0.428571429,0,0,1,51.74,-8.88,0,6.4,6,1,0,0,2,52.36,100,52.38,49.56,55.37,-6.8497
1416,廣豐,TSE,20,其他,19,1853421680,6037736,15.61353967,0.32372237,0.048195218,4.26,1.16,0.039310762,0.044029915,2.079441542,0.375,0,0,1,30.34,32.16,0,3.3,7,1,0,2,2,51.23,100,47.91,49.29,55.27,-15.6091
1417,嘉裕,TSE,4,紡織纖維,273,1899418400,2962789,14.90164161,0.240869349,0.516630108,-6.3,-41.46,-0.049259667,-0.03670798,1.945910149,0.428571429,0,0,1,19.91,37.28,0,15.86,7,1,0,0,0,39.68,100,38.06,42.97,36.91,-5.5421
1418,東華,TSE,4,紡織纖維,39,568343090,5223916,15.46875787,3.135851937,0.187005113,2,-503.43,0.025069124,0.025889199,2.197224577,0.333333333,0,0,1,44.7,-0.11,0,7.76,9,0,0,1,1,40.66,51.71,28.96,38.91,48.24,-7.2827
1419,新紡,TSE,4,紡織纖維,617,3000412800,22140008,16.91289685,0.444265872,0.109999554,6.07,10.87,0.052519538,0.06082071,1.945910149,0.428571429,0,0,1,30.92,19.54,0,31.17,6,1,1,2,4,60.07,100,62.32,67.06,51.45,29.3272
1423,利華,TSE,4,紡織纖維,49,996480000,3619467,15.10183734,0.065362553,0.217768528,2.65,-56.48,0.018134162,0.020588943,1.609437912,0.6,0,0,0,54.77,-5.01,0,6.98,7,1,0,0,1,37.84,100,33.6,35.83,42.07,21.1605
1432,大魯閣,TSE,37,運動休閒,624,1080000000,5696796,15.55541447,3.64728556,0.110498252,-6.11,-1.21,0.00221528,0.078179208,2.197224577,0.444444444,0,0,1,44.1,-10.61,0,4.92,8,1,0,0,0,48.89,100,50.26,42.38,55.22,-25.1128
1434,福懋,TSE,4,紡織纖維,3950,16846646370,53698060,17.79888743,0.456813865,0.085073297,3.27,2.3,0.037039755,0.063146043,2.397895273,0.272727273,0,0,1,50.84,50.85,0,54.67,3,1,0,0,2,64.63,100,77.41,70,52.63,-25.9989
1435,中福,TSE,20,其他,13,1397801000,1330010,14.10069702,0.160361646,0.301988707,-2.96,-476.05,-0.027832122,-0.025886272,1.791759469,0.5,0,0,1,6.46,49.94,0,4.65,9,0,0,1,1,40.84,41.85,32.75,46.97,41.64,-54.371
1436,華友聯,TSE,14,建材營造,56,1941517950,20690801,16.84519976,2.821744236,0.081840379,45.36,41.74,0.143189188,0.144397986,2.197224577,0.444444444,0,0,1,59.59,-26.25,0,1.3,8,1,0,1,2,56.3,100,55.44,57.87,55.74,-15.1947
1437,勤益控,TSE,20,其他,15,2033712840,13975017,16.45278179,0.68000717,0.176460036,8.29,44.88,0.052790061,0.062818958,1.945910149,0.571428571,1,0,1,41.92,-27.61,0,19.67,7,0,0,1,1,52.05,100,53.37,33.81,63.95,-7.5219
1438,三地開發,TSE,14,建材營造,18,1112057410,12605330,16.3496303,3.328991291,0.102426751,-5.86,-2.48,0.000795774,0.001230829,1.945910149,0.428571429,0,0,1,63.92,-6.74,0,-5.02,8,1,0,0,0,48.41,80.78,44.46,35.48,59.92,20.6293
1439,雋揚,TSE,14,建材營造,26,920000000,5896549,15.58987782,0.849334947,0.093595932,5.16,-26.26,0.032865664,0.036637871,1.945910149,0.428571429,0,0,1,71.25,-11.99,0,6.51,8,1,0,4,4,47.32,100,40.17,51.66,48.79,-12.632
1440,南紡,TSE,4,紡織纖維,935,16568158570,47881822,17.68424649,0.659041717,0.150619874,-1.74,-5.05,-0.002979461,0.018137969,2.708050201,0.333333333,0,1,1,31.34,21.99,0,98.98,4,1,1,2,4,62.45,99.81,75.45,64.5,51.15,2.6863
1441,大東,TSE,4,紡織纖維,36,717443870,1900535,14.45764598,2.184163747,0.150908034,22.03,-10.04,0.093562602,0.143641133,2.079441542,0.5,0,0,1,54,10.9,0,1.06,9,1,0,3,6,49.97,100,54.4,41.66,56.76,-3.663
1442,名軒,TSE,14,建材營造,45,3662113580,14646972,16.49974418,0.624295614,0.076851311,33.4,34.26,0.206802403,0.20772901,1.945910149,0.428571429,0,0,1,39.86,3.22,0,6.79,7,1,2,4,6,56.8,86.97,62.15,40.15,65.06,-81.2489
1443,立益物流,TSE,20,其他,121,1353430110,7692481,15.85575392,3.352531292,0.024309582,12.66,34.6,0.047142268,0.062218938,2.197224577,0.333333333,0,0,1,67.77,-12.21,0,1.34,9,1,0,0,0,43.14,89.05,25.44,56.64,47.62,-2.3396
1444,力麗,TSE,4,紡織纖維,957,9955950590,21078281,16.86375373,0.74743182,0.048473924,2.04,-4.68,0.01698388,0.049376892,2.197224577,0.333333333,0,0,1,39.76,32.72,0,13.07,6,1,1,3,6,43.12,96.84,56.98,40.5,34.68,-20.8353
1445,大宇,TSE,4,紡織纖維,314,1306660340,2704793,14.81053594,0.17989111,0.195203108,-7.8,-19.74,-0.055989127,-0.04041899,2.302585093,0.3,0,0,1,7.26,12.84,0,14.48,6,0,0,2,7,50.53,86.76,59.72,58.47,37.51,2.9186
1446,宏和,TSE,4,紡織纖維,47,1377095130,3749716,15.13719066,0.300426017,0.38129021,62.98,41.01,0.411107668,0.414190835,2.197224577,0.333333333,0,0,1,53.46,14.32,0,2.89,8,1,2,2,4,48.77,100,61.27,35.75,50,-16.0304
1447,力鵬,TSE,4,紡織纖維,1295,9100712420,19486947,16.78525541,1.025160508,0.084581849,0.74,-1.18,0.009208215,0.03988398,2.197224577,0.333333333,0,0,1,46.09,22.64,0,23.23,6,1,0,2,4,43.87,95.15,57.66,34.24,40.74,-9.4482
1449,佳和,TSE,4,紡織纖維,800,1271145720,6335249,15.66163968,2.137288489,0.047215666,5,3.27,0.042194711,0.070798007,2.48490665,0.333333333,0,0,1,21.3,20.64,0,3.07,9,1,0,0,0,51.98,78.27,30.24,64.97,48.59,-50.5874
1451,年興,TSE,4,紡織纖維,442,1980000000,8658430,15.97404397,0.207635987,0.198256381,3.45,2.41,0.037595037,0.061803468,2.197224577,0.333333333,0,0,1,43.33,1.11,0,16.03,6,1,0,3,4,47.35,100,50.65,33.13,61.06,-33.654
1452,宏益,TSE,4,紡織纖維,233,1326414000,2939000,14.89357995,0.077060588,0.515749575,3.07,-1.87,0.033020415,0.048585573,2.079441542,0.375,0,0,1,7,19.57,0,14.58,5,1,1,3,6,54.06,100,54.21,58.12,50.9,5.6641
1453,大將,TSE,14,建材營造,20,1132430480,2651302,14.7905614,0.845269729,0.162904867,0.13,-2564.22,0.004564927,0.006809485,1.945910149,0.428571429,0,0,1,66.86,-9.66,0,4.42,7,0,0,0,0,45.84,100,35.36,36.93,58.63,-15.4526
1454,台富,TSE,4,紡織纖維,404,1298338480,2012509,14.51489276,0.317518167,0.232056602,0.77,-3.06,0.006131153,0.043974959,2.397895273,0.363636364,1,0,1,22.88,-4.7,0,5.38,6,1,0,2,3,58.54,100,74.15,59.53,49.87,2.6682
1455,集盛,TSE,4,紡織纖維,1284,5316883800,10743686,16.18982879,0.735111864,0.101043534,0.08,-2.82,0.001908935,0.036601684,2.197224577,0.333333333,0,0,1,26.78,17.82,0,8.07,5,1,0,1,5,47.68,93.42,56.5,31.41,53.25,-7.6676
1456,怡華,TSE,14,建材營造,38,937200000,12773518,16.36288468,7.123317038,0.022588296,6.58,46.36,0.036160516,0.037334899,2.48490665,0.333333333,0,0,1,78.43,-11.76,0,-3.45,9,0,0,1,1,54.08,100,57.44,49.51,55.16,-12.4478
1457,宜進,TSE,4,紡織纖維,27,3167300220,17910183,16.70087999,1.073970992,0.09200442,3.46,4.56,0.033814283,0.044569952,2.197224577,0.333333333,0,0,1,43.98,13.86,0,12.12,7,1,0,0,4,59.42,100,59.95,61.46,57.51,-17.5476
1459,聯發,TSE,4,紡織纖維,112,3586289070,4848617,15.39420407,0.655662872,0.340248157,7.22,-15.69,0.05795962,0.085985138,2.197224577,0.333333333,0,0,1,58.05,10.23,0,10.58,7,1,0,0,0,43.92,84.56,47.4,45.78,39.91,-38.0609
1460,宏遠,TSE,4,紡織纖維,1472,6946434840,11864047,16.28902312,0.99754433,0.086436273,-4.75,-2.43,-0.003095571,0.061881414,2.397895273,0.272727273,0,0,1,46.1,28.57,0,7.14,7,1,1,3,8,61.43,82.53,72.37,58.99,58.73,-40.1134
1463,強盛新,TSE,4,紡織纖維,174,1732683810,3626150,15.10368204,0.137120526,0.534143099,21.17,2.18,0.161209547,0.173760049,2.397895273,0.272727273,0,0,1,24.9,21.74,0,7.18,6,1,0,0,0,38.2,100,27.05,37.73,46.92,-66.2428
1464,得力,TSE,4,紡織纖維,724,4255757330,19067150,16.76347752,1.908147523,0.136638197,8.95,4.94,0.047200866,0.076095798,1.945910149,0.571428571,0,0,1,40.09,2.77,0,22.4,7,1,0,0,0,56.26,100,51.44,53.7,61.37,-76.0025
1465,偉全,TSE,4,紡織纖維,159,1036072670,1916801,14.46616821,0.167157752,0.217800387,4.07,-11.05,0.043623725,0.060354205,2.197224577,0.444444444,1,0,1,43.07,4.27,0,4.18,6,0,0,1,2,48.98,100,29.92,57.26,49.35,-7.3897
1466,聚隆,TSE,4,紡織纖維,329,1111573200,3423510,15.0461769,1.262248219,0.081258124,1.18,0.07,0.013042462,0.07395889,2.397895273,0.363636364,0,0,1,29.38,3.8,0,1.88,7,0,0,2,3,62.61,100,73.33,61.92,55.09,-63.2019
1467,南緯,TSE,4,紡織纖維,206,2336246670,8864368,15.9975502,1.881085406,0.266580652,2.68,1.31,0.033844827,0.058958631,2.397895273,0.363636364,0,0,1,13.29,5.63,0,21.03,7,1,1,3,8,62.63,100,46.03,66.53,66.52,-31.423
